,texto,sentimiento,texto_normalizado
10221,"@Manuellflorod Bienvenida (triste) realidad, andamos en las mismas, pero no hay de otra",1,bienvenida triste realidad andar mismo
9565,Estar en los brazos de mi novio es lo único que quiero y necesito,2,brazo novio unico querer necesitar
7555,"Todos tenemos un pasado @ahorapodemos ,que se le digan @CiutadansCs http://t.co/TaIUGk7FHo ",0,tener pasado decir
7713,@ahorapodemos @ierrejon Tambien que las empresas (independientes o no) contactaran si estubieran interesadas seguro que avanzaríamos ,2,   tambien empresa independiente contactar si estubieran interesado seguro avanzariamos
2825,"En Islandia:  juicio a los responsables de la crisis, negativa al pago de la deuda y elaboración de una nueva Constitución. Otro camino.",0,islandia juicio responsable crisis negativa pago deuda elaboracion nueva constitucion camino
1038,El tono duro y sin concesiones de la réplica de Rajoy a Amaiur anuncia cómo encarará esa relación. Será lógico pero a lo peor no ...,1,tono duro concesión replica rajoy amaiur anunciar encarara relacion sera logico peor
6331,Comienza su intervención en el acto de cierre de campaña @javierarenas_pp . Siguelo en directo en http://t.co/OBTE5Cx2,0,comenzar intervencion acto cierre campaña    siguelo directo
10,Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,2,bdias em ira puente si ir dejeis llevar tableta pc luego orbyt momento decir mas
2647,"#FF @ArturoGomezQuij, por demostrar en su penúltimo tweet que un prejuicio es una oportunidad de actualización.",2,ff demostrar penultimo tweet prejuicio oportunidad actualizacion
5868,"""La herencia del @PSOE : trabajos a ratos y 5 euros la hora"" Editorial @13tv_AlDia @13television 20.30h . ¡Gracias Zapatero!",1,herencia    trabajo rato euro hora editorial    h ¡ gracias zapatero
14071,Tumbes me trae buenos recuerdos,2,tumbes traer bueno recuerdo
1426,Feliz día de los INOCENTES !!!!! Algunos habéis picado !!! Mi pelo sigue igual! Jaaaaaaa!!!!!,2,feliz dia inocente algún habeis picado pelo seguir igual jaaaaaaa
14441,Como regalo de Navidad solo quiero el flotador de unicornio,0,regalo navidad solo querer flotador unicornio
3265,"#Rajoy admite que ha pensado que los sindicatos pueden convocar una huelga por la reforma laboral, ""seria un irresponsable si no lo hiciera""",1,rajoy admitir pensar sindicato pueden convocar huelga reforma laboral serio irresponsable si hacer
14045,@vanessasaba75 buen duo con Manolo B. En cuatro linda cancion. . como tantas de mar de copas q estan en el soundtrack de mi vida.,2,buen duo manolo b cuatro lindo cancion mar copa q estan soundtrack vida
14257,"estoy viendo The Princess's Man, es uno de los pocos doramas que me ha dejado enganchada con la historia",2,ver the princesss man doramas dejar enganchado historia
4814,". @javierarenas_pp "" conmigo no habrá ni un solo euro que se gaste sin la firma de los funcionarios de la Junta de Andalucía """,2,    conmigo habra solo euro gastar firma funcionario junta andalucia
10044,"@FidelZevi esta bien, no insistas",0,bien insistas
14918,"“@20m: Aguirre: (@EsperanzAguirre) ""Mientras la ley me obligue, tendré que dar medicinas gratis a Botín"" http://t.co/P0XkPAIh” @PPopular",0,“ aguirre mientras ley obligar tendre dar medicinas gratis botin
1215,"El problema es ""Qué PSOE x hacer y donde queremos estar mañana"" y no donde estuvimos ayer o si queda mucho o poco x hacer. Refocalicemos!",0,problema psoe x hacer querer mañana ayer si quedar x hacer refocalicemos
14015,Ojalá la capital este tan caliente como dicen esos q se quejan del clima caluroso!!!!,1,ojalar capital tan caliente decir q quejar clima caluroso
2393,Ya dentro del avion con @Kataly91 A dormir un poquito ahora y dejar una horita en el aire... http://t.co/BmdqgFwQ,0,dentro avion dormir poquito ahora dejar horita aire
2784,"""El voto en blanco en el Congreso del PSOE""....son muchos en el PSOE los que siguen pensando que ni Rubalcaba ni Chacónhttp://t.co/EUbPkDrI",1,voto blanco congreso psoeson psoe seguir pensar rubalcar chacon
15917,@conRubalcaba Els que venen a reventar mitings sempre mhan recordat quan els fatxes venien a la univ a reventar assambleas. #noeselmateix,0,els venen reventar mitings sempre mhan recordat quan els fatxes venien univ reventar assambleas noeselmateix
