,texto,sentimiento,texto_normalizado
10221,"@Manuellflorod Bienvenida (triste) realidad, andamos en las mismas, pero no hay de otra",1,bienven trist realid andam mism
9565,Estar en los brazos de mi novio es lo único que quiero y necesito,2,braz novi unic quier necesit
7555,"Todos tenemos un pasado @ahorapodemos ,que se le digan @CiutadansCs http://t.co/TaIUGk7FHo ",0,pas dig
7713,@ahorapodemos @ierrejon Tambien que las empresas (independientes o no) contactaran si estubieran interesadas seguro que avanzaríamos ,2,tambi empres independient contact si estub interes segur avanz
2825,"En Islandia:  juicio a los responsables de la crisis, negativa al pago de la deuda y elaboración de una nueva Constitución. Otro camino.",0,islandi juici respons crisis negat pag deud elabor nuev constitu camin
1038,El tono duro y sin concesiones de la réplica de Rajoy a Amaiur anuncia cómo encarará esa relación. Será lógico pero a lo peor no ...,1,ton dur concesion replic rajoy amaiur anunci com encar relacion logic peor ...
6331,Comienza su intervención en el acto de cierre de campaña @javierarenas_pp . Siguelo en directo en http://t.co/OBTE5Cx2,0,comienz intervencion acto cierr campañ siguel direct
10,Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,2,bdi em ira puent si vais dejeis llev tablet pc lueg orbyt moment dig
2647,"#FF @ArturoGomezQuij, por demostrar en su penúltimo tweet que un prejuicio es una oportunidad de actualización.",2,ff demostr penultim tweet prejuici oportun actualiz
5868,"""La herencia del @PSOE : trabajos a ratos y 5 euros la hora"" Editorial @13tv_AlDia @13television 20.30h . ¡Gracias Zapatero!",1,herenci trabaj rat 5 eur hor editorial 20.30 h ¡ graci zapater
14071,Tumbes me trae buenos recuerdos,2,tumb tra buen recuerd
1426,Feliz día de los INOCENTES !!!!! Algunos habéis picado !!! Mi pelo sigue igual! Jaaaaaaa!!!!!,2,feliz dia inocent pic pel sig igual jaa
14441,Como regalo de Navidad solo quiero el flotador de unicornio,0,regal navid sol quier flotador unicorni
3265,"#Rajoy admite que ha pensado que los sindicatos pueden convocar una huelga por la reforma laboral, ""seria un irresponsable si no lo hiciera""",1,rajoy admit pens sindicat pued convoc huelg reform laboral seri irrespons si hic
14045,@vanessasaba75 buen duo con Manolo B. En cuatro linda cancion. . como tantas de mar de copas q estan en el soundtrack de mi vida.,2,buen duo manol b cuatr lind cancion . . tant mar cop q estan soundtrack vid
14257,"estoy viendo The Princess's Man, es uno de los pocos doramas que me ha dejado enganchada con la historia",2,viend the princess's man poc doram dej enganch histori
4814,". @javierarenas_pp "" conmigo no habrá ni un solo euro que se gaste sin la firma de los funcionarios de la Junta de Andalucía """,2,conmig sol eur gast firm funcionari junt andaluc
10044,"@FidelZevi esta bien, no insistas",0,bien insist
14918,"“@20m: Aguirre: (@EsperanzAguirre) ""Mientras la ley me obligue, tendré que dar medicinas gratis a Botín"" http://t.co/P0XkPAIh” @PPopular",0,“ aguirr mientr ley oblig dar medicin gratis botin
1215,"El problema es ""Qué PSOE x hacer y donde queremos estar mañana"" y no donde estuvimos ayer o si queda mucho o poco x hacer. Refocalicemos!",0,problem pso x hac quer mañan ayer si qued x hac refocalic
14015,Ojalá la capital este tan caliente como dicen esos q se quejan del clima caluroso!!!!,1,ojal capital tan calient dic q quej clim calur
2393,Ya dentro del avion con @Kataly91 A dormir un poquito ahora y dejar una horita en el aire... http://t.co/BmdqgFwQ,0,dentr avion dorm poquit ahor dej horit air ...
2784,"""El voto en blanco en el Congreso del PSOE""....son muchos en el PSOE los que siguen pensando que ni Rubalcaba ni Chacónhttp://t.co/EUbPkDrI",1,vot blanc congres pso ... pso sig pens rubalc chacon
15917,@conRubalcaba Els que venen a reventar mitings sempre mhan recordat quan els fatxes venien a la univ a reventar assambleas. #noeselmateix,0,els ven revent mitings sempr mhan recordat quan els fatx veni univ revent assambl noeselmateix
13730,"@maliux justo vi en Ig que lo tenías y te quería preguntar. Cuando lo hagas, espero el review! Y sí, yo tb tengo varios pendientes",0,just vi ig quer pregunt hag esper review tb vari pendient
8815,@viborildasigue Abrazos para ti desde aquí Vibo ¡Ahí estaré y listísima para grabar la entrevista!,0,abraz aqu vib ¡ ahi listisim grab entrev
323,Zzzzzxz....,0,zzzzxz ...
1344,"Resacas navideñas: no se donde hay mas azúcar, en los postres de estos días o en los análisis sobre el nuevo gobierno ? Que atracón",1,resac navideñ mas azuc postr dias analisis nuev gobiern atracon
12975,"@lamascarada @cuervotinelli tal cuál :/, No seas malo Papá...",1,tal cual :/ mal pap ...
4457,Gran discurso de @javierarenas_pp hoy en el congreso del @partidopopular. Cada dia es mayor su capacidad de llegar a la gente y convencer,2,gran discurs hoy congres cad dia mayor capac lleg gent convenc
372,Comienza el turno de los oyentes en @ProtasRadio,0,comienz turn oyent
909,"Rajoy anuncia la racionalización del calendario laboral, los puentes se trasladarán al lunes salvo fechas muy señaladas. #investidurarajoy",0,rajoy anunci racionaliz calendari laboral puent traslad lun salv fech señal investidurarajoy
6724,RT @tuteledigital: @mananascuatro marca máximo rozando el 9% gracias al interés de la huelga general. http://t.co/Sv06dsoC @practica_cuatro,2,marc maxim roz 9 graci interes huelg general
12078,jajajaja que recuerdos cuando amaba la novela #malparida lo malo que Renata era mala,0,jajajaj recuerd amab novel malpar mal renat mal
16034,Merkel recuerda a Monti que Italia sigue bajo vigilancia http://t.co/6lME3vhC toque de atención de los #mercados #20N #15M #ccoo,0,merkel recuerd monti itali sig baj vigil
3399,me sigue encantando roberto verino... http://t.co/0LEYuwcl,2,sig encant robert verin ...
496,@mgilguerrero ya se estrena esta noche con una en otra radio.,2,estren noch radi
5846,"Nueva subasta bonos y obligaciones del Estado.Según estimaciones dl Tesoro,el importe mínimo previsto 2500 millones e,máximo 3500 millones e",0,nuev subast bon oblig segun estim dl tesor import minim previst 2500 millon maxim 3500 millon
11114,"@CdeCiencia Bueno, el frío es lo de menos, siempre te puedes poner un buen abrigo ",2,buen fri men siempr pued pon buen abrig
16427,@DavidRSantayana Sobre bipartidismo:@upyd propone (y a ello condiciona sus apoyos) el cambio de la Ley Electoral #cadavotovale #20NCantabria,0,bipartid propon ello condicion apoy cambi ley electoral cadavotoval 20ncantabri
12309,"@golden254 @yapeze Jajaja! Sí, leí! Creo que por acá no los tendremos hasta el 2018, por lo menos.",0,jajaj lei cre aca 2018 men
7576,Guillermo Catalán encabezará la candidatura de UPyD para el Ayuntamiento de Haro http://t.co/assz5uLmti vía @upyd ,0,guillerm catalan encabez candidatur upyd ayunt har
15884,"@marianorajoy Esperemos que sea así y que el @PSOE haga lo que dices, porque si sales tu es decir el @PPopular las cosas se harán mucho peor",1,esper asi hag dic si sal dec cos haran peor
3470,"El Gobierno aprueba un ""salario mínimo"" para los banqueros cuyos bancos sean intervenidos: ""sólo"" podrán cobrar 300.000 euros.",1,gobiern aprueb salari minim banquer cuy banc interven sol podran cobr 300.000 eur
5302,#ElCambioAndaluz Arenas se compromete a modernizar y agilizar la Justicia  para adaptarla a las... http://t.co/k1mogtyW @javierarenas_pp,2,elcambioandaluz aren compromet moderniz agiliz justici adapt ...
6984,"Curiosidades del CIS: la reforma laboral apenas es mencionada como uno de los problemas de España (1,2%); el desempleo abruma (84%)",1,"curi cis reform laboral apen mencion problem españ 1,2 ); desemple abrum (8 4"
15706,"@conRubalcaba sobre @CarmeChacon2011 ""Gracias Carmen por tu trabajo, tu apoyo y tu inteligencia"". Dirà el mateix el 21N?",0,graci carm trabaj apoy inteligent dirà mateix 21n
1244,"No le concede Santamaría importancia a la reducción en el número de mujeres de ministras: ""En el trabajo no hay distinción de géneros"".",0,conced santam import reduccion numer mujer ministr trabaj distincion gener
4365,Seguimos en el #17CongresoPP #comprometidosconEspaña http://t.co/SyHNTbWH,0,segu 17congresopp comprometidosconespañ
15932,@conrubalcaba en el programa del PP no hay nada q les pueda costar un voto. Es una indecencia democratica!! #noéselmateix #20n,1,program pp q pued cost vot indecent democrat noeselmateix 20n
1195,Margallo recupera la Secretaría de Estado para Iberoamérica http://t.co/EMbOFpP2,2,margall recuper secret iberoamer
13605,Sabes que no tendrás un buen día cuando lo primero que haces en la mañana es tratar de cambiar un foco y este te cae en la cara,1,sab buen dia primer hac mañan trat cambi foc cae car
4953,El PP rechaza en solitario la propuesta de @Pedro_Zerolo para que el Ayto exija a la CM que ejecute las obras del CEP de Fuencarral.,1,pp rechaz solitari propuest ayto exij cm ejecut obras cep fuencarral
10655,@DianaLeealM es de Dianas jaja gracias bella,2,dian jaj graci bell
1423,Buenos días inocentes todos! Así amanece Madrid: http://t.co/8VAm4lYt,2,buen dias inocent asi amanec madr
7803,@kolontai1959 @ahorapodemos Ojalá que de aquí a unos 20 años los centros sociales sean parte indispensable de la construcción de sociedad ,0,ojal aqu 20 años centr social part indispens construccion socied
256,"Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo",1,europ constru recort bienest auster si inteligent bienest modern inversion cre emple
15067,"Otro mítin extraordinario d @UPyD en la calle en Madrid Nvos Ministerios con @aanchuelo y Yolanda Sámchez Moya, un lujo http://t.co/JROxmnBM",2,mitin extraordinari d call madr nvos ministeri yoland samchez moy luj
10792,"@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular ",2,edifici edifici b facilisim articul
288,"RT:“@fernavarro17: ""En los periódicos falta calor, sudor.. humanidad"". Gran entrevista sobre periodismo http://t.co/vDBsdOsT” vía @ceciliab",0,rt “ period falt calor sudor .. human gran entrev period
6288,"Ahora sí, hasta mañana y recordad: se acerca el invierno...",0,ahor mañan record acerc inviern ...
6578,Es @UPyD un partido de ppios? Sí por supuesto.Q harán ustedes en Asturias? ehhh.esto..uhmm a ver..si es que.bueno...depende.. @Borja_Semper,1,part ppi supuest q haran usted asturi ehhh.est .. uhmm ver .. si que.buen ... depend ..
13042,"me dijeron 'no sos hombre', me llegó al alma",1,dijeron sos hombr lleg alma
15813,@Asoensation Creo que a tí te falta un poquito de formación financiera. Los especuladores no son lo mismo que los acreedores. @iunida,0,cre ti falt poquit formacion financ especul mism acreedor
12933,"Hoy la luna esta hermosa ,plena",2,hoy lun hermos plen
12009,@danielamercury @esperarportiGa un novo mercuryano !!!,2,nov mercuryan
13395,El mejor #piropo de mi vida «estás #buchisapa y pareces un #kion»,1,mejor pirop vid « buchisap parec kion »
4484,"Con las proclamas antiPP, anticapitalistas y anticlericales del 19F y con los #premiosgoya España encara un nuevo amanecer. Se ve claro",0,proclam antipp anticapital anticlerical 19f premiosgoy españ encar nuev amanec ve clar
16830,"""@omenendez: Voy a votar a @iunida. En este post explico por qué: http://t.co/mdA99mPj #eligeiu""",0,voy vot post explic
13135,"No, la verdad es que no sé qué haré por el cumpleaños de Yixing. O sea, ¿han visto todo lo que hacen las xingmis? Son muy lindas",2,verd se har cumpleañ yixing ¿ vist hac xingmis lind
7945,@agarzon contagias ilusión ,2,contagi ilusion
8687,"Necesito plata, mi regalo de cumpleaños no alcanzó para la ropa de navidad y año nuevo",1,necesit plat regal cumpleañ alcanz rop navid año nuev
1232,Eso fue una maniobra para engañarle y que se hiciera twitter.. :P RT @van_oli_ @aarbeloa17 Pero tienes un año mas por culpa de Xabi!!!,0,maniobr engañ hic twitt .. :p rt año mas culp xabi
1280,"Un cocinero dice que meterle pasas y piñones es un error. El asunto no es ese, es que no se seque. #elpavoesmuysecorro",1,cociner dic met pas piñon error asunt sequ elpavoesmuysecorr
13097,@CuadradoAndres @grazianopascale @adeladubra jaja muchas gracias!!! muy buena onda de todos los implicados!!!,2,jaj much graci buen onda implic
12732,"@barsacampeon10 Qué horror, la mala suerte de esa pobre niña es tremenda... Pobrecita...",1,horror mal suert pobr niñ tremend ... pobrecit ...
2675,@Enric_Hernandez Y ese déficit nunca ha estado oculto...,1,deficit nunc ocult ...
1112,"Subvenciones públicas para decir cosas como esta? Esto es ""cultura""? http://t.co/JLGcwZjW",1,subvencion public dec cos cultur
7026,#HolaDictadura y q es para vosotros la democracia? Q se imponga vuestra voluntad? Xq no os presentáis a unas elecciones DEMOCRÁTICASaaaaaa,1,holadictadur q democraci q impong volunt xq present unas eleccion democraticasaa
10188,Feeeliz dia a todas las enfermeras del mundo mundial son lo mejor que hay,2,feeeliz dia tod enfermer mund mundial mejor
